id,pytanie,odpowiedz a,odpowiedz b,odpowiedz c,odpowiedz d,poprawna odpowiedz
1,Strategicznym celem zarządzania kapitałem w przedsiębiorstwie jest:,Maksymalizacja wartości kapitału,Maksymalizacja rentowności kapitału,Minimalizacja kosztu kapitału,Optymalizacja struktury kapitału,d
2,Koszt kapitału własnego przedsiębiorstwa wynika z:,Ponoszenia przez właściciela tzw. kosztu alternatywnego,Oprocentowania tego kapitału,Obowiązujących zasad prowadzenia rachunkowości,Konieczności wypłacania odsetek właścicielom tego kapitału,
3,Efekt dźwigni finansowej jest związany z:,Dążeniem do minimalizacji kosztu kapitału,Dążeniem do maksymalizacji operacyjnej rentowności kapitału,Kształtowaniem kosztu kapitału własnego,Dążeniem do optymalizacji struktury kapitałowej,
4,Obligacja zerokuponowa to:,Obligacja przy której występuje wypłata odsetek,Obligacja z kuponami odsetkowymi,Obligacja bez kuponów odsetkowych,"Obligacja, przy której cena wykupu jest niższa od ceny emisyjnej",
5,Instrumentami finansowania własnego-zewnętrznego mogą być:,"zyski reinwestowane, emisja akcji","emisja akcji, venture capital","venture capital, amortyzacja","amortyzacja, zyski reinwestowane",
6,Stopa procentowa może wyrażać:,bezwzględny dochód z inwestycji,bezwzględne ujęcie ceny pieniądza,względne ujęcie ceny pieniądza,wielkość zysku przedsiębiorstwa,
7,Model Gordona jest wykorzystywany dla celów:,szacowania teraźniejszej wartości akcji uprzywilejowanej,szacowania teraźniejszej wartości akcji zwykłej,szacowania ryzyka inwestycyjnego,szacowania wymaganej stopy zwrotu,
8,Ryzyko operacyjne jest związane z :,Kształtowaniem się kosztów stałych i zmiennych,Sferą zarządzania operacyjnego przedsiębiorstwem,Strukturą źródeł finansowania działalności operacyjnej przedsiębiorstwa,Strukturą operacyjnego majątku przedsiębiorstwa,
9,Stopa dywidendy informuje bezpośrednio o:,Opłacalności inwestowania w akcje,Kwocie wypłacanej dywidendy,Udziale dywidendy w zysku netto,Tempie wzrostu dywidendy,
10,Współczynnik ‘β’(ryzyka inwestycyjnego) w postaci relewarowanej oznacza:,Poziom ryzyka dla przedsiębiorstwa średnio zadłużonego,Poziom ryzyka dla przedsiębiorstwa niezadłużonego,Poziom ryzyka dla przedsiębiorstwa zadłużonego,Poziom ryzyka przeciętnego w danej branży,
11,Ryzyko finansowe jest związane z:,Kształtowaniem się kosztów stałych i zmiennych,Całą sferą zarządzania finansami przedsiębiorstwa,Doborem źródeł finansowania przedsiębiorstwa,Strukturą majątku przedsiębiorstwa,
12,Zaciągnięcie przez inwestora kredytu na sfinansowanie realizacji inwestycji powoduje:,Spadek przepływów pieniężnych przedsięwzięcia inwestycyjnego w okresie jego realizacji,Wzrost przepływów pieniężnych przedsięwzięcia inwestycyjnego w okresie jego eksploatacji,Wzrost przepływów pieniężnych przedsięwzięcia inwestycyjnego w okresie jego realizacji,Nie ma wpływu na przepływy pieniężne przedsięwzięcia inwestycyjnego?,
13,"Mamy dwie inwestycje: A i B. Jeżeli NPV(A)>NPV(B) oraz IRR(A)<IRR(B), to ta sytuacja oznacza, że:",Inwestycja A jest bezwzględnie nieefektywna,Inwestycja B jest bezwzględnie nieefektywna,"Obie inwestycje mogą być bezwzględnie efektywne, ale ryzyko przy A większe niż ryzyko",przy B,
14,Niedobór kapitału obrotowego netto może zostać obniżony poprzez:,Wydłużenie okresu inkasa należności,Wydłużenie okresu płatności zobowiązań,Wydłużenie okresu utrzymywanych zapasów,Wydłużenie cyklu środków pieniężnych,
15,Obligatariusz to:,Emitent obligacji,Gwarant emisji obligacji,Posiadacz obligacji,Podmiot wykupujący obligacje od pożyczkodawców,
16,Instumentami finansowania własnego-wewnętrznego mogą być:,"zyski reinwestowane, emisja akcji","emisje akcji, venture capital","Venture capital, amortyzacja","amortyzacja, zyski reinwestowane",
17,Obligacja dyskontowa to:,"Obligacja, przy której występuje dyskontowanie odsetek","obligacja, przy której występuje dyskontowanie kwoty wykupu obligacji",obligacja sprzedawana po cenie emisyjnej niższej od wartości nominalnej,obligacja sprzedawana po cenie emisyjnej wyższej od wartości nominalnej,
18,Do instrumentów pozyskiwania kapitału własnego-zewnętrznego zaliczamy:,Zysk reinwestowany i emisję akcji,Emisję akcji i kredyt bankowy,Amortyzację i emisję udziałów,Emisję udziałów i venture capital,
19,Kapitał finansowy przedsiębiorstwa to:,Finansowe aktywa przedsiębiorstwa,Środki pieniężne przedsiębiorstwa,Źródła finansowania przedsiębiorstwa,Inwestycje przedsiębiorstwa,
20,Leasing zwrotny to:,"Rodzaj leasingu, przy którym przedmiot leasingu wraca po zakończeniu umowy do",leasingodawcy,"Rodzaj leasingu, przy którym przedmiot leasingu wraca po zakończeniu umowy do",swojego właściciela,
21,Cechą leasingu finansowego jest m.in.:,Możliwość zaliczenia całej raty leasingowej jako kosztu przedsiębiorstwa,Transfer własności przedmiotu leasingu na rzecz leasingobiorcy po podpisaniu umowy,Brak prawa do naliczania amortyzacji przez leasingobiorcę,Prawo leasingobiorcy do pierwokupu przedmiotu leasingu po zakończeniu umowy,
22,Możliwość wykorzystania kapitału obcego przez przedsiębiorstwo jest m.in. uzależniona od:,Skłonności przedsiębiorstwa do podejmowania ryzyka operacyjnego,Obowiązujących regulacji prawnych w zakresie wykorzystania różnych form pozyskiwania,kapitału,Skłonności przedsiębiorstwa do podejmowania ryzyka finansowego,
23,Kapitał rzeczowy przedsiębiorstwa to:,Środki trwałe przedsiębiorstwa,Aktywa ogółem przedsiębiorstwa,Inwestycje przedsiębiorstwa,Aktywa rzeczowe przedsiębiorstwa,
24,"Funkcja kreatywna kapitału oznacza, że:",Każde wykorzystanie kapitału kreuje jego wartość,Zainwestowanie kapitału kreuje wartość przedsiębiorstwa,Kapitał jest kreatorem strategii przedsiębiorstwa,Zainwestowanie kapitału stanowi warunek kreowania działalności gospodarczej,
25,Równania Hamady znajdują zastosowanie w celu:,Szacowania kosztu kapitału własnego w oparciu o koncepcję rynkową,Szacowania rynkowej premii za ryzyko,Szacowania kosztu kapitału własnego w oparciu o koncepcję dywidendową,Szacowania kosztu kapitału obcego,
26,Metoda annuitetowa spłaty kredytu polega na:,Spłacaniu kredytu przy malejących ratach kapitałowych,Spłacaniu kredytu przy rosnących odsetkach,Spłacaniu kredytu przy równych ratach kapitałowych,Spłacaniu kredytu przy rosnących ratach kapitałowych,
